3774,Asia,39,298937
3774,Asia,39,298937
4943,Marti,53,1.02405e+06
4943,Marti,53,1.02405e+06
5971,Marika,43,188475
5971,Marika,43,188475
13841,Roberta,40,155248
13841,Roberta,40,155248
15094,Valera,48,620504
15094,Valera,48,620504
15394,Mireielle,69,166692
15394,Mireielle,69,166692
16372,Danika,49,816576
16372,Danika,49,816576
21240,Joy,43,1.24888e+06
21240,Joy,43,1.24888e+06
21878,Marsiella,22,1.38777e+06
21878,Marsiella,22,1.38777e+06
28407,Sara-Ann,66,779271
28407,Sara-Ann,66,779271
40583,Leona,20,1.30571e+06
40583,Leona,20,1.30571e+06
43339,Karlee,43,425199
43339,Karlee,43,425199
50582,Sarette,36,1.23813e+06
50582,Sarette,36,1.23813e+06
51087,Mamie,48,899367
51087,Mamie,48,899367
51318,Margette,52,1.09424e+06
51318,Margette,52,1.09424e+06
60580,Farrah,48,290578
60580,Farrah,48,290578
61326,Devina,39,1.2639e+06
61326,Devina,39,1.2639e+06
66286,Lita,40,936270
66286,Lita,40,936270
74543,Grier,71,1.04482e+06
74543,Grier,71,1.04482e+06
81339,Cristabel,59,476207
81339,Cristabel,59,476207
94484,Correy,70,366013
94484,Correy,70,366013
102021,Noelle,45,252018
102021,Noelle,45,252018
106540,Dawn,35,338017
106540,Dawn,35,338017
117944,Clo,45,955002
117944,Clo,45,955002
122319,Barbara,33,334797
122319,Barbara,33,334797
127862,Ana,36,953940
127862,Ana,36,953940
144915,Ada,65,330432
144915,Ada,65,330432
157499,Gavrielle,70,1.34087e+06
157499,Gavrielle,70,1.34087e+06
162510,Ileana,41,1.12534e+06
162510,Ileana,41,1.12534e+06
162983,Linet,69,942482
162983,Linet,69,942482
163882,Evita,28,180722
163882,Evita,28,180722
175817,Allyce,64,57427
175817,Allyce,64,57427
186273,Darci,34,350013
186273,Darci,34,350013
186445,Taffy,56,879035
186445,Taffy,56,879035
192869,Tori,44,951773
192869,Tori,44,951773
194924,Sharlene,70,984155
194924,Sharlene,70,984155
195895,Merrie,39,609716
195895,Merrie,39,609716
216244,Blondelle,43,1.37968e+06
216244,Blondelle,43,1.37968e+06
216477,Brooks,60,846986
216477,Brooks,60,846986
219838,Orelia,29,976325
219838,Orelia,29,976325
221030,Elbertina,70,1.07086e+06
221030,Elbertina,70,1.07086e+06
221622,Clary,18,864908
221622,Clary,18,864908
227584,Georgina,18,272835
227584,Georgina,18,272835
232785,Wanda,66,658142
232785,Wanda,66,658142
234633,Aryn,33,976952
234633,Aryn,33,976952
242835,Darci,64,453571
242835,Darci,64,453571
245715,Merle,45,965623
245715,Merle,45,965623
262944,Willetta,33,618123
262944,Willetta,33,618123
270049,Monika,33,889746
270049,Monika,33,889746
273203,Collen,43,1.16073e+06
273203,Collen,43,1.16073e+06
274010,Roz,37,147216
274010,Roz,37,147216
277544,Celene,72,559865
277544,Celene,72,559865
280670,Florencia,52,405799
280670,Florencia,52,405799
281526,Max,65,637381
105977,Genovera,37,1.33906e+06
281526,Max,65,637381
105977,Genovera,37,1.33906e+06
287427,Adriana,25,994086
287427,Adriana,25,994086
292244,Cassondra,38,736169
292244,Cassondra,38,736169
292554,Annabela,44,829778
292554,Annabela,44,829778
296535,Winny,57,325405
296535,Winny,57,325405
299692,Nessie,43,1.0457e+06
299692,Nessie,43,1.0457e+06
302414,Vinita,56,1.25011e+06
302414,Vinita,56,1.25011e+06
302567,Rubie,40,184817
302567,Rubie,40,184817
306837,Shandie,67,889057
306837,Shandie,67,889057
315998,Magdalena,23,1.11667e+06
315998,Magdalena,23,1.11667e+06
316159,Dagmar,53,246393
316159,Dagmar,53,246393
317208,Arlena,67,1.20989e+06
317208,Arlena,67,1.20989e+06
322476,Stacey,45,994533
322476,Stacey,45,994533
326322,Moyna,28,365845
326322,Moyna,28,365845
328586,Bobbi,63,838480
328586,Bobbi,63,838480
335602,Rozele,21,422316
335602,Rozele,21,422316
337147,Cathyleen,38,330883
337147,Cathyleen,38,330883
341992,Rosanne,39,1.11206e+06
341992,Rosanne,39,1.11206e+06
344873,Aubrie,64,953544
